StudentID,Name,Age,Electronics,Programming,Database,DataScience,Mathematics,DSA
1,Student_1,24,44,94,70,48,86,86
2,Student_2,25,46,91,51,64,81,92
3,Student_3,25,96,61,77,68,76,72
4,Student_4,23,74,76,50,100,72,50
5,Student_5,22,48,65,74,90,85,86
6,Student_6,21,90,72,63,43,99,51
7,Student_7,20,42,60,69,66,98,49
8,Student_8,20,97,98,61,59,61,67
9,Student_9,25,91,84,71,84,56,60
10,Student_10,18,97,92,96,60,72,81
11,Student_11,23,89,69,66,42,67,85
12,Student_12,20,76,40,82,80,85,62
13,Student_13,24,90,90,86,61,67,95
14,Student_14,18,94,82,77,72,81,79
15,Student_15,25,57,82,43,100,43,71
16,Student_16,23,62,42,90,98,76,71
17,Student_17,25,90,81,52,42,53,85
18,Student_18,24,95,96,41,95,48,76
19,Student_19,23,100,98,78,42,67,86
20,Student_20,25,58,61,69,61,84,94
21,Student_21,18,90,58,69,74,53,89
22,Student_22,22,77,91,56,56,72,95
23,Student_23,20,84,93,95,88,65,63
24,Student_24,19,78,58,43,46,78,84
25,Student_25,24,63,76,56,91,52,92
26,Student_26,20,43,57,91,46,51,53
27,Student_27,19,96,54,98,83,62,76
28,Student_28,23,71,91,96,64,65,97
29,Student_29,21,82,44,59,67,77,80
30,Student_30,19,77,100,67,98,74,76
31,Student_31,21,45,77,66,78,70,77
32,Student_32,25,81,75,43,89,63,40
33,Student_33,18,46,44,57,100,84,57
34,Student_34,20,89,87,83,65,94,60
35,Student_35,19,94,71,98,54,40,70
36,Student_36,23,52,82,40,77,43,73
37,Student_37,20,74,98,72,87,78,93
38,Student_38,24,100,90,84,46,80,50
39,Student_39,20,94,79,59,100,60,80
40,Student_40,18,82,50,47,70,62,57
41,Student_41,18,66,80,82,99,62,72
42,Student_42,22,57,42,54,63,100,69
43,Student_43,25,68,42,45,86,70,61
44,Student_44,21,83,56,91,61,59,50
45,Student_45,23,62,45,69,72,40,95
46,Student_46,20,96,56,65,49,52,64
47,Student_47,18,46,74,95,43,51,55
48,Student_48,24,100,71,51,77,63,53
49,Student_49,20,58,44,98,80,47,70
50,Student_50,19,86,76,76,91,88,44
51,Student_51,25,68,98,59,85,97,97
52,Student_52,24,92,94,46,51,73,77
53,Student_53,25,76,100,45,92,83,43
54,Student_54,24,56,58,68,49,43,57
55,Student_55,21,60,95,88,46,90,97
56,Student_56,25,86,49,84,79,55,97
57,Student_57,24,58,90,64,52,53,56
58,Student_58,25,68,81,61,77,45,48
59,Student_59,20,56,92,61,89,56,91
60,Student_60,23,47,70,62,97,56,62
61,Student_61,18,92,62,58,49,99,97
62,Student_62,21,90,77,43,93,63,52
63,Student_63,25,97,45,73,92,44,41
64,Student_64,21,68,80,68,78,100,90
65,Student_65,18,70,76,68,87,49,87
66,Student_66,18,100,56,64,57,66,46
67,Student_67,25,51,50,88,87,63,69
68,Student_68,21,87,74,78,75,79,96
69,Student_69,23,54,70,99,97,64,92
70,Student_70,20,78,42,82,91,53,65
71,Student_71,23,42,58,47,65,58,48
72,Student_72,19,60,54,57,57,87,79
73,Student_73,20,79,58,77,78,49,57
74,Student_74,21,88,72,95,92,63,43
75,Student_75,19,61,68,61,87,52,79
76,Student_76,21,49,79,56,72,59,72
77,Student_77,20,94,67,42,67,61,70
78,Student_78,22,80,57,59,100,71,65
79,Student_79,18,52,72,92,87,79,86
80,Student_80,18,59,64,77,50,96,43
81,Student_81,20,98,84,61,65,87,48
82,Student_82,24,70,53,50,81,40,59
83,Student_83,21,54,53,73,52,62,70
84,Student_84,20,48,63,85,65,49,91
85,Student_85,24,63,43,53,58,76,58
86,Student_86,25,84,87,46,59,99,95
87,Student_87,21,80,54,55,60,41,45
88,Student_88,18,48,66,93,91,76,95
89,Student_89,25,82,76,44,77,99,100
90,Student_90,24,75,46,100,100,77,84
91,Student_91,23,50,54,93,97,70,93
92,Student_92,23,91,90,60,69,79,60
93,Student_93,24,89,79,80,86,70,59
94,Student_94,20,100,62,95,97,49,45
95,Student_95,22,65,63,79,86,82,79
96,Student_96,22,84,65,100,60,63,93
97,Student_97,22,58,85,79,78,54,88
98,Student_98,19,61,91,87,48,51,72
99,Student_99,21,61,96,88,80,41,76
100,Student_100,24,74,49,42,59,52,90
101,Student_101,24,95,86,80,67,91,100
102,Student_102,22,78,61,86,98,65,52
103,Student_103,23,41,46,50,56,81,94
104,Student_104,18,88,92,57,95,54,64
105,Student_105,19,84,90,70,79,69,69
106,Student_106,18,44,67,82,83,89,75
107,Student_107,19,68,72,94,85,93,72
108,Student_108,22,65,72,81,63,87,93
109,Student_109,25,72,84,74,89,69,61
110,Student_110,20,53,44,82,76,98,61
111,Student_111,22,97,55,93,43,97,100
112,Student_112,19,99,67,71,40,68,49
113,Student_113,22,69,65,42,83,46,50
114,Student_114,20,65,42,99,48,91,84
115,Student_115,24,57,100,51,73,84,96
116,Student_116,25,40,62,74,85,70,54
117,Student_117,18,53,53,79,55,69,40
118,Student_118,19,69,65,88,71,56,40
119,Student_119,21,64,82,72,91,55,54
120,Student_120,21,93,91,71,77,45,81
121,Student_121,23,52,95,100,55,44,41
122,Student_122,24,55,52,46,52,53,69
123,Student_123,21,56,75,67,96,50,55
124,Student_124,23,58,78,85,79,96,75
125,Student_125,19,99,52,44,51,100,76
126,Student_126,23,91,53,79,89,51,85
127,Student_127,21,99,58,62,59,61,88
128,Student_128,20,87,66,56,100,52,58
129,Student_129,18,52,59,89,56,47,75
130,Student_130,24,64,91,95,84,70,52
131,Student_131,23,93,50,51,49,58,63
132,Student_132,21,47,50,40,46,80,70
133,Student_133,20,87,69,89,99,40,87
134,Student_134,23,61,48,44,76,88,43
135,Student_135,23,99,70,90,41,69,71
136,Student_136,22,57,40,52,77,74,52
